1  number of sets, Nset
-----------------
#1  Blade structural data for HAWC2/HAWCStab2
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
arc                       m_pm                      x_cg                      y_cg                      ri_x                      ri_y                      theta_s                   x_ec                      y_ec                      K_11                      K_12                      K_13                      K_14                      K_15                      K_16                      K_22                      K_23                      K_24                      K_25                      K_26                      K_33                      K_34                      K_35                      K_36                      K_44                      K_45                      K_46                      K_55                      K_56                      K_66                      
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
$1  83 Flexible
8.100200000000E+00        7.719136570290E+02        1.205523098810E-01        -3.660713066803E-02       1.299711484451E+00        1.597757434639E+00        -1.924007118890E+01       1.905608276634E-01        -3.113795387025E-02       1.551265472565E+09        -2.871996440419E+07       0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -8.163305842661E+07       1.166353250035E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        2.399603487685E+08        8.832068753200E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        5.020029644141E+09        1.310001645596E-03        0.000000000000E+00        1.548511924003E+10        0.000000000000E+00        3.113537928323E+09       
8.900000000000E+00        7.489678860730E+02        1.570479876377E-01        -3.928335416338E-02       1.257190148671E+00        1.658179070422E+00        -1.518020976200E+01       2.390398833958E-01        -3.627343874464E-02       1.494096613141E+09        -2.223054427696E+07       0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -1.325740932180E+08       1.043386614849E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.713377739389E+08        8.721682859080E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        4.772553778306E+09        -7.371345551933E-03       0.000000000000E+00        1.595031385652E+10        0.000000000000E+00        2.866517839654E+09       
1.020000000000E+01        7.073572279000E+02        2.035019244256E-01        -3.998342924687E-02       1.187034447228E+00        1.736000915608E+00        -1.175711542619E+01       3.120815132007E-01        -4.165293413054E-02       1.472898125764E+09        -1.140955688594E+08       0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.346056168398E+08        9.942626700864E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.310449377126E+08        8.459836668640E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        4.282645798075E+09        1.747771637328E-05        0.000000000000E+00        1.616049543486E+10        0.000000000000E+00        2.653362399119E+09       
1.100000000000E+01        6.791752236070E+02        2.287768333167E-01        -3.695062710271E-02       1.149058494475E+00        1.759490900073E+00        -1.069542797925E+01       3.482087043759E-01        -4.021188836242E-02       1.374710080123E+09        -6.096045289832E+07       0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -1.648056884891E+07       8.527982957566E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.467693609398E+08        8.230113242190E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.959929418502E+09        -3.429947120607E-04       0.000000000000E+00        1.583461153503E+10        0.000000000000E+00        2.288374035279E+09       
1.199900000000E+01        6.344338445540E+02        2.559975470211E-01        -3.162671483566E-02       1.105093434522E+00        1.769290587586E+00        -1.018494542626E+01       3.926232391904E-01        -3.764389592844E-02       1.264711348700E+09        -5.276609185843E+07       0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -2.179565150041E+07       7.938969155930E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        2.502073695703E+08        7.925932660880E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.596385646383E+09        9.957820130459E-04        0.000000000000E+00        1.495275001411E+10        0.000000000000E+00        1.980128757576E+09       
1.289900000000E+01        6.176864352480E+02        2.726631431308E-01        -2.718479569550E-02       1.066704287180E+00        1.770130121566E+00        -9.473248937211E+00       4.219592521727E-01        -3.564248468760E-02       1.229498253511E+09        -3.665336237518E+07       0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -4.144970339968E+07       7.399039034696E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        2.830247173071E+08        7.948068520980E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        3.406280162708E+09        -8.756927306507E-04       0.000000000000E+00        1.462517251425E+10        0.000000000000E+00        1.801803262507E+09       
1.399900000000E+01        5.988428485740E+02        2.853977931956E-01        -2.222013680816E-02       1.019579454687E+00        1.752482279954E+00        -8.812449298543E+00       4.515365740604E-01        -3.296833152918E-02       1.190263436739E+09        -3.009581508902E+07       0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -3.468948100325E+07       6.918550247261E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        2.765517653366E+08        7.996967259040E+09        -2.945050946371E-08       -4.565732364898E-09       0.000000000000E+00        3.176430319778E+09        -1.101518854859E-04       0.000000000000E+00        1.399508835854E+10        0.000000000000E+00        1.602491287765E+09       
1.505200000000E+01        5.770965138590E+02        2.817173516503E-01        -1.608048102420E-02       9.722219979125E-01        1.723240116410E+00        -8.170697403627E+00       4.611362277552E-01        -2.836217982016E-02       1.150761256760E+09        -2.354471357650E+07       0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -3.366902732334E+07       6.461481410406E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        2.652251859637E+08        7.952994490420E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        2.906135175038E+09        -7.473931634949E-04       0.000000000000E+00        1.316203461635E+10        0.000000000000E+00        1.412802362688E+09       
1.599900000000E+01        5.611030712980E+02        2.772116177019E-01        -1.164320076395E-02       9.297049574720E-01        1.690152505550E+00        -7.591207432042E+00       4.654142155436E-01        -2.522395007346E-02       1.125261252391E+09        -1.857600152458E+07       0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -3.085773531384E+07       6.136953334418E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        2.500029189482E+08        7.961862669690E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        2.683681165478E+09        -2.069008917815E-05       0.000000000000E+00        1.244760511202E+10        0.000000000000E+00        1.268658864667E+09       
1.694600000000E+01        5.369713701320E+02        2.728041534393E-01        -7.782309144178E-03       8.889986711431E-01        1.650390242150E+00        -7.266092112279E+00       4.713511863442E-01        -2.271059932613E-02       1.070119907342E+09        -1.497417479058E+07       0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -2.825108262663E+07       5.748701646005E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        2.289377335575E+08        7.865896876990E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        2.446665321415E+09        -2.904622548797E-04       0.000000000000E+00        1.146498077087E+10        0.000000000000E+00        1.104799499598E+09       
1.810400000000E+01        5.103757997510E+02        2.658988783211E-01        -8.421639906706E-03       8.401510226082E-01        1.601274380798E+00        -6.883792392260E+00       4.753969476994E-01        -2.499330715589E-02       1.007883246740E+09        -1.302689343890E+07       0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -1.171231531070E+07       5.447759863808E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.807338318050E+08        7.773493766280E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        2.183419484751E+09        -1.304161095519E-03       0.000000000000E+00        1.038675094286E+10        0.000000000000E+00        9.451181618744E+08       
1.915700000000E+01        4.933682026310E+02        2.599677427873E-01        -6.084143579669E-03       7.995759373016E-01        1.553691129893E+00        -6.466324257454E+00       4.743849056480E-01        -2.342838850983E-02       9.771744257604E+08        -7.563392951993E+06       0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        -1.067451910374E+07       5.123113134146E+08        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.714686659950E+08        7.795368727360E+09        0.000000000000E+00        0.000000000000E+00        0.000000000000E+00        1.994271378333E+09        1.448913220503E-02        0.000000000000E+00        9.629896793248E+09        0.000000000000E+00        8.285140108088E+08       
