1  number of sets, Nset
-----------------
#1  Blade structural data for HAWC2/HAWCStab2
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
arc                       m_pm                      x_cg                      y_cg                      ri_x                      ri_y                      x_sc                      y_sc                      E                         G                         I_x                       I_y                       I_T                       k_x                       k_y                       A                         theta_s                   x_ec                      y_ec                      
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
$1  83 Flexible
1.199900000000E+01        6.344338445540E+02        2.559975470211E-01        -3.162671483566E-02       1.105093434522E+00        1.769290587586E+00        7.032767874159E-01        -8.929360355202E-02       8.514855848728E+09        2.475502964883E+09        4.223660048126E-01        1.756077880795E+00        7.680262896023E-01        5.344922267890E-01        3.588897421660E-01        9.308358005924E-01        -1.018494542626E+01       3.926232391904E-01        -3.764389592844E-02      
1.289900000000E+01        6.176864352480E+02        2.726631431308E-01        -2.718479569550E-02       1.066704287180E+00        1.770130121566E+00        8.018437778550E-01        -7.637985180254E-02       8.824499115656E+09        2.487013977665E+09        3.860026635013E-01        1.657337410608E+00        6.807075082530E-01        5.376473354902E-01        3.415465205391E-01        9.006821142833E-01        -9.473248937211E+00       4.219592521727E-01        -3.564248468760E-02      
1.399900000000E+01        5.988428485740E+02        2.853977931956E-01        -2.222013680816E-02       1.019579454687E+00        1.752482279954E+00        8.486433774747E-01        -7.524611271821E-02       9.251690693209E+09        2.510912552443E+09        3.433351184243E-01        1.512706036401E+00        5.940130315462E-01        5.388240737824E-01        3.283597213802E-01        8.643790118178E-01        -8.812449298543E+00       4.515365740604E-01        -3.296833152918E-02      
1.505200000000E+01        5.770965138590E+02        2.817173516503E-01        -1.608048102420E-02       9.722219979125E-01        1.723240116410E+00        8.696546395558E-01        -6.592793356223E-02       9.639187942992E+09        2.536131873187E+09        3.014917016066E-01        1.365471312956E+00        5.139456584581E-01        5.419130139435E-01        3.168317745650E-01        8.250689308535E-01        -8.170697403627E+00       4.611362277552E-01        -2.836217982016E-02      
1.599900000000E+01        5.611030712980E+02        2.772116177019E-01        -1.164320076395E-02       9.297049574720E-01        1.690152505550E+00        8.713312492644E-01        -5.843025712412E-02       1.006638433012E+10        2.577858949387E+09        2.665983214497E-01        1.236551745275E+00        4.524421797957E-01        5.451260262353E-01        3.077549238620E-01        7.909356933518E-01        -7.591207432042E+00       4.654142155436E-01        -2.522395007346E-02      
1.694600000000E+01        5.369713701320E+02        2.728041534393E-01        -7.782309144178E-03       8.889986711431E-01        1.650390242150E+00        8.684923914609E-01        -5.234310823276E-02       1.046208060123E+10        2.588462830300E+09        2.338603012796E-01        1.095860489693E+00        3.914146993490E-01        5.438688913330E-01        3.013927510073E-01        7.518482390649E-01        -7.266092112279E+00       4.713511863442E-01        -2.271059932613E-02      
1.810400000000E+01        5.103757997510E+02        2.658988783211E-01        -8.421639906706E-03       8.401510226082E-01        1.601274380798E+00        8.054684830859E-01        -5.745335902794E-02       1.097722212423E+10        2.611350455693E+09        1.989045552729E-01        9.462094166735E-01        3.389449479947E-01        5.397569947271E-01        2.998715363378E-01        7.081476240810E-01        -6.883792392260E+00       4.753969476994E-01        -2.499330715589E-02      
1.915700000000E+01        4.933682026310E+02        2.599677427873E-01        -6.084143579669E-03       7.995759373016E-01        1.553691129893E+00        8.077682114067E-01        -5.282653636145E-02       1.158894217961E+10        2.663410348583E+09        1.720839872549E-01        8.309556337415E-01        2.894995990537E-01        5.411968941983E-01        2.901942615286E-01        6.726557615481E-01        -6.466324257454E+00       4.743849056480E-01        -2.342838850983E-02      
1.999900000000E+01        4.736037523010E+02        2.568120717183E-01        -4.201620523638E-03       7.699981235906E-01        1.514977021505E+00        7.983104693750E-01        -5.029963789691E-02       1.203338470819E+10        2.670876947503E+09        1.531950131734E-01        7.406001554473E-01        2.542606022653E-01        5.370553918856E-01        2.858857006180E-01        6.422144039057E-01        -6.268223478853E+00       4.761552652885E-01        -2.216839415923E-02      
2.110400000000E+01        4.411186418850E+02        2.298875046896E-01        -9.753151234768E-04       7.361921056746E-01        1.486075469305E+00        7.884375741854E-01        -4.491214579995E-02       1.256094287846E+10        2.623120975646E+09        1.324854601264E-01        6.526524535923E-01        2.233843012357E-01        5.570546377590E-01        2.481410578793E-01        6.094431697271E-01        -5.802632159934E+00       4.690441182740E-01        -2.033042559396E-02      
2.194700000000E+01        4.276267232310E+02        2.281898713603E-01        3.768571433524E-04        7.090550650246E-01        1.448687250760E+00        7.832818552605E-01        -4.264252837696E-02       1.299500442889E+10        2.629958531588E+09        1.191728947117E-01        5.889120894456E-01        1.980465813545E-01        5.528207731771E-01        2.429742759286E-01        5.879968607931E-01        -5.582339278064E+00       4.698803810829E-01        -1.942631334558E-02      
